,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sum of Number of Vehicles,Fuel Type,,,,,,,,,,,,,,,
Data Year,Bio Diesel,Diesel,Electric,Flex Fuel,Gasoline,Gasoline Hybrid,Hydrogen ,Natural Gas,PHEV,Propane,Grand Total,,,Electric,PHEV,Sum
2010,"  1,364 ","  433,102 ",  601 ,"  428,089 ","  21,032,279 ","  384,883 ",  14 ,"  4,777 ",  153 ,  868 ,"  22,286,130 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2011,"  5,734 ","  438,610 ","  4,375 ","  528,828 ","  20,872,313 ","  430,115 ",  20 ,"  5,764 ","  1,482 ",  820 ,"  22,288,061 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2012,"  10,768 ","  448,230 ","  7,902 ","  618,418 ","  20,902,351 ","  496,864 ",  26 ,"  6,847 ","  10,454 ",  820 ,"  22,502,680 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2013,"  16,536 ","  474,115 ","  25,146 ","  709,183 ","  21,405,487 ","  603,830 ",  24 ,"  8,094 ","  27,281 ",  881 ,"  23,270,577 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2014,"  22,992 ","  501,126 ","  50,175 ","  817,338 ","  21,737,732 ","  701,945 ",  38 ,"  8,448 ","  58,764 ",  946 ,"  23,899,504 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2015,"  32,554 ","  523,098 ","  82,686 ","  878,165 ","  22,026,350 ","  776,480 ",  79 ,"  8,500 ","  83,482 ",  895 ,"  24,412,289 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2016,"  45,554 ","  543,318 ","  115,569 ","  948,746 ","  22,661,954 ","  860,599 ",  854 ,"  8,521 ","  114,602 ",  966 ,"  25,300,683 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2017,"  73,234 ","  567,047 ","  159,705 ","  1,108,886 ","  25,313,468 ","  1,019,085 ","  3,271 ","  9,212 ","  163,057 ","  1,074 ","  28,418,039 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2018,"  96,686 ","  561,171 ","  232,239 ","  1,122,312 ","  25,377,093 ","  1,060,166 ","  5,525 ","  8,910 ","  216,328 ","  1,063 ","  28,681,493 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2019,"  114,855 ","  565,767 ","  308,447 ","  1,131,474 ","  25,526,368 ","  1,114,944 ","  6,933 ","  8,462 ","  251,522 ","  1,015 ","  29,029,787 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2020,"  134,834 ","  565,532 ","  369,364 ","  1,144,536 ","  25,021,380 ","  1,155,477 ","  7,129 ","  7,676 ","  259,109 ",  897 ,"  28,665,934 ",,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Grand Total,"  555,111 ","  5,621,116 ","  1,356,209 ","  9,435,975 ","  251,876,775 ","  8,604,388 ","  23,913 ","  85,211 ","  1,186,234 ","  10,245 ","  278,755,177 ",,,,,